"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2020-08-11,-2.19207194502393,-2.22520659163307,-2.27062679067624,-2.21439654819295,-1.8419167034806,-2.33430544956235,-2.35526591940677,-2.06663254311945
2020-08-12,-2.19102497520766,-2.22118555962729,-2.25722535616382,-2.17736858660507,-1.8426533942986,-2.32642654158952,-2.3484919523111,-2.00239674322401
2020-08-13,-2.19310058453985,-2.22358758282603,-2.24093940762641,-2.1648791298805,-1.8385165717831,-2.36581282532967,-2.36454524950341,-2.02043986984782
2020-08-14,-2.17858443833059,-2.2263746121391,-2.23992746822615,-2.15346170893364,-1.86503719549765,-2.37903443831225,-2.33008748489569,-2.02674045075306
2020-08-17,-2.16526719127596,-2.21116299809214,-2.21676292836314,-2.13920419629013,-1.84748061816855,-2.36278357809843,-2.32062784294966,-1.99295906954286
2020-08-18,-2.15049266704723,-2.19947507141737,-2.20890360994419,-2.13603041841956,-1.8594470913131,-2.35334925037406,-2.28489010644104,-1.96686558123925
2020-08-19,-2.16086369767947,-2.21644988517275,-2.22376557096111,-2.14489688601194,-1.87148818863168,-2.36837082433622,-2.31824314448155,-1.97195410770685
2020-08-20,-2.15176076610191,-2.20381634836107,-2.21674690760987,-2.12731659498589,-1.85581634871272,-2.36097084256685,-2.31200782020636,-1.95829095439867
2020-08-21,-2.14673953625386,-2.20018280659916,-2.21569185915153,-2.1292172564156,-1.90617480572848,-2.36410517149213,-2.33411131562719,-2.01409461514055
2020-08-24,-2.14911815687016,-2.21151233946189,-2.20762216668566,-2.12575692818501,-1.95102012455063,-2.35737426822716,-2.35088889510014,-1.98906214648339
2020-08-25,-2.16725298873568,-2.22069099411755,-2.22075213607424,-2.12215243803682,-1.95289237183963,-2.3612499294672,-2.3418047804138,-1.98936627320904
2020-08-26,-2.16733009926477,-2.24210658243939,-2.22324132681462,-2.13222559170705,-1.9295922837965,-2.36064475929757,-2.31182374009084,-1.97868529758256
2020-08-27,-2.17197115341728,-2.23316503414865,-2.20906500698936,-2.17640082375342,-1.98646096591809,-2.34545837588029,-2.31324734457617,-1.98933590081379
2020-08-28,-2.19154847310183,-2.26144722532299,-2.24854723550379,-2.21203465040136,-2.01162831211875,-2.39329965044473,-2.31386007888996,-2.00106538933042
2020-08-31,-2.19192573175678,-2.2852293754642,-2.25755023388129,-2.22347842634322,-2.03252010774892,-2.38257236718644,-2.32616117173062,-1.97090669952035
2020-09-01,-2.21517129598197,-2.29302822054854,-2.28385152566944,-2.23181967127473,-2.06043384304751,-2.38243923805568,-2.33792960431335,-2.00978353027036
2020-09-02,-2.32509831968706,-2.35227991884036,-2.33606287717226,-2.27373691181993,-2.0743528915872,-2.40044943805115,-2.36235236186908,-2.0145651411916
