"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4"
2017-04-17,-2.61781025843698,-2.48439229667969,-2.47856115681994,-2.00917430434166,-1.99162308150795,-2.04143979612425,-2.1277287717308
2017-04-18,-2.6387521951622,-2.4894209774019,-2.47936159285727,-2.01391944619712,-1.99105299824436,-2.11032521403454,-2.13900963434359
2017-04-19,-2.64308141664483,-2.49168988244172,-2.48915840879045,-2.02878274855791,-1.99048291497868,-2.09038638857697,-2.16362666552737
2017-04-20,-2.67175066903452,-2.4936672927596,-2.50493361245614,-2.0398175465386,-1.98991283171037,-2.10424108161322,-2.17540968591669
2017-04-24,-2.65332133080942,-2.47589525957358,-2.48159023847119,-2.05178659814626,-1.98934274843879,-2.07476603626699,-2.19990922816033
2017-04-25,-2.67105795802084,-2.48615071612839,-2.48207591139895,-2.05072276896117,-1.98877266516309,-2.07557299130352,-2.21322517915173
2017-04-26,-2.65435566908438,-2.4633541454857,-2.46310230452595,-2.04494222357395,-1.98820258188224,-2.08548887762633,-2.25844490742738
2017-04-27,-2.66343764534489,-2.4543235301642,-2.46333719838364,-2.04843575034102,-1.98763249859495,-2.08594682102349,-2.2553313040379
2017-04-28,-2.66925243877222,-2.48775703746238,-2.45973215007339,-2.35709946772902,-1.98706241529958,-2.08894441323087,-2.26635233831529
2017-05-02,-2.67250783101024,-2.48130341649863,-2.45685849164066,-2.36993989997439,-1.98649233199412,-2.08500677114532,-2.38843941821633
2017-05-03,-2.65908236616739,-2.48623765070042,-2.45230242941795,-2.34662685736047,-1.985922248676,-2.07805289385297,-2.40498372141104
2017-05-04,-2.64075662005779,-2.48620779295521,-2.44713204105516,-2.3376141627944,-1.98535216534204,-2.08951704390656,-2.35191825828421
2017-05-05,-2.63266431967114,-2.49058247491999,-2.43854564188274,-2.30663079316773,-1.98478208198825,-2.10215089759881,-2.35810506055226
2017-05-08,-2.62292941727517,-2.48836936173498,-2.41799230703109,-2.30272538505602,-1.98421199860963,-2.13230154860097,-2.34541404295388
2017-05-09,-2.64771736482467,-2.50564120952427,-2.42028373352157,-2.36493210530663,-1.98364191519992,-2.15985917589439,-2.30550701494002
2017-05-10,-2.65577727484307,-2.52662319403998,-2.42699192820458,-2.40827242637616,-1.98307183175127,-2.17733012192021,-2.27659068064132
2017-05-11,-2.66782785141221,-2.54229402864097,-2.42677159771801,-2.39394077481006,-1.98250174825388,-2.19895735972084,-2.3117822829834
2017-05-12,-2.67732225546896,-2.54964576409355,-2.42123985788071,-2.39012669860765,-1.98193166469547,-2.22701541574283,-2.30166460743996
2017-05-15,-2.70634576458617,-2.58405404095505,-2.42074502256622,-2.41374836139603,-1.98136158106064,-2.18508182987185,-2.29399791575848
2017-05-16,-2.70851213957701,-2.58827547946087,-2.42621868240236,-2.4009701005256,-1.98079149733013,-2.18050651943054,-2.2968067947849
2017-05-17,-2.68672842358086,-2.56716255332733,-2.42707253184864,-2.3924163928159,-1.98022141347982,-2.19892600779139,-2.30267051387464
2017-05-18,-1.42388102568861,-1.45132150626032,-1.1083708851807,-1.47668687534519,-1.97965132947953,-1.6224227990356,-1.55804450474525
2017-05-19,-1.40783885254795,-1.43745808103571,-1.09158852805752,-1.46530763684512,-1.97908124529143,-1.60280115761121,-1.54802490948483
2017-05-22,-1.40699750899121,-1.43493872135874,-1.08851666855024,-1.45864718845116,-1.97851116086818,-1.60750724912599,-1.53456680044562
2017-05-23,-1.40723680421393,-1.43636767989507,-1.08730481509719,-1.46283160808338,-1.97794107615052,-1.60972347233725,-1.52717592070598
2017-05-24,-1.41074370595479,-1.43544961096759,-1.09076347341722,-1.461925115205,-1.97737099106421,-1.61514233391422,-1.52192688766608
2017-05-25,-1.40664076000806,-1.43021810121088,-1.08719708705554,-1.45405942236908,-1.97680090551635,-1.61204810771525,-1.51592237989238
2017-05-26,-1.40499792882767,-1.42977535559816,-1.08603603795624,-1.45884825502224,-1.97623081939057,-1.60531998963884,-1.51569766655053
2017-05-29,-1.40753793532359,-1.43348407201988,-1.08731183757496,-1.45768124321605,-1.97566073254119,-1.60796348085633,-1.51568389948538
2017-05-30,-1.40866943110169,-1.43399047221427,-1.08802995441305,-1.45837629593621,-1.97509064478582,-1.60638395503407,-1.51750647833841
2017-05-31,-1.40987953074399,-1.43987712008761,-1.0878945491041,-1.45348076742869,-1.97452055589607,-1.60714895834467,-1.51461046799258
2017-06-01,-1.41105178676356,-1.43900198113757,-1.08567854843979,-1.45676811781525,-1.97395046558599,-1.60507171230224,-1.51057740352971
2017-06-02,-1.41154440037649,-1.43551818163022,-1.08451885506728,-1.45960907521491,-1.97338037349753,-1.60552693056913,-1.52096160158857
2017-06-05,-1.41290152976325,-1.43527077074469,-1.08551061750846,-1.46668473664068,-1.97281027918241,-1.60673332166169,-1.52126777016917
2017-06-06,-1.41209868164885,-1.43486830948674,-1.08433818201255,-1.46732186959232,-1.97224018207933,-1.59387735352184,-1.52413861322766
2017-06-07,-1.41081127078582,-1.43250258715611,-1.08467305668061,-1.46909063333071,-1.9716700814855,-1.5874089074047,-1.51335067731385
2017-06-08,-1.4130623513806,-1.43413676757215,-1.08650501684677,-1.47381851926311,-1.97109997652099,-1.5869676409124,-1.51475002781476
2017-06-09,-1.41274051998718,-1.43212742680885,-1.08713323311766,-1.46885787630391,-1.97052986608402,-1.57986743297618,-1.51070941420045
2017-06-12,-1.41391198289918,-1.42986100584773,-1.08745606260283,-1.46137912677684,-1.9699597487951,-1.57812188165234,-1.5122305451143
2017-06-13,-1.41418578260171,-1.4305209487194,-1.08663650427207,-1.46326463047042,-1.969389622927,-1.59013993872714,-1.51464956568032
2017-06-14,-1.41305828776218,-1.42628470406433,-1.08468050427474,-1.46275282781502,-1.96881948631709,-1.58951882585209,-1.51211035834431
2017-06-15,-1.4141843102796,-1.42773978020192,-1.08469940537557,-1.46513291323419,-1.96824933625756,-1.5867884915253,-1.50720833852969
2017-06-16,-2.59850320763268,-2.3853564495165,-2.20586216495331,-2.24829242274255,-1.96767916935806,-2.09219387238711,-2.09336940409523
2017-06-19,-2.73028621511311,-2.45977235410463,-2.31929754167702,-2.31386993488003,-1.96710898137356,-2.14555683538576,-2.10843124016894
2017-06-20,-2.76632107716919,-2.50172378649435,-2.39368911798564,-2.3791474118328,-1.96653876698898,-2.17571071222278,-2.19042301681876
2017-06-21,-2.77919714204605,-2.50688351967415,-2.41241874625246,-2.38210400268283,-1.96596851954939,-2.16029485272845,-2.20821453461104
2017-06-22,-2.82118856345807,-2.55341626795681,-2.43014308223355,-2.40592319971585,-1.9653982307223,-2.17374602896109,-2.24215759891811
2017-06-23,-2.8750723251489,-2.59048017106873,-2.46695695508484,-2.46481570239208,-1.96482789007477,-2.18582151881869,-2.24184163500482
2017-06-26,-2.86620096580271,-2.58435953248816,-2.44681009781925,-2.45966638055661,-1.96425748454394,-2.19305872027299,-2.26040674181158
2017-06-27,-2.8781349849168,-2.59746595629193,-2.45558816378636,-2.43561723123943,-1.96368699777406,-2.20209183856395,-2.31484066908505
2017-06-28,-2.85848609459948,-2.59226543777168,-2.43039329941274,-2.44494822796648,-1.96311640928642,-2.20661600049277,-2.31661010765336
2017-06-29,-2.86411986227777,-2.57724974501962,-2.43693846779614,-2.4670316531393,-1.96254569344006,-2.21568724608809,-2.30477775122651
2017-06-30,-2.88289038668918,-2.58000258633996,-2.45870766798001,-2.46634385198494,-1.96197481813048,-2.24148721098914,-2.32534673772799
2017-07-03,-2.90444650955717,-2.60202561969398,-2.47334970368687,-2.48542235382565,-1.96140374316025,-2.22911837622355,-2.31827435527221
2017-07-04,-2.94223111302928,-2.61717904841591,-2.49356668758003,-2.50135037700638,-1.96083241819903,-2.21664414469758,-2.31692229822528
2017-07-05,-2.95322966779551,-2.60913265966471,-2.50882382043907,-2.48949361743425,-1.9602607802292,-2.24839358895778,-2.31562592603996
2017-07-06,-2.95719417139434,-2.62928163752476,-2.51079744289505,-2.4971639517372,-1.95968875034774,-2.27333792232076,-2.3655978124032
2017-07-07,-2.94341352023812,-2.62374250731412,-2.52278559482811,-2.50295899906968,-1.95911622976175,-2.28724676004334,-2.39927234268115
2017-07-10,-2.95843947755647,-2.62748202673372,-2.54447250325917,-2.55141955426967,-1.95854309477468,-2.34144370183253,-2.41336040513436
2017-07-11,-2.9598504413316,-2.66041602394321,-2.54350200964314,-2.61212222847978,-1.95796919050863,-2.33085783921158,-2.40911022568715
2017-07-12,-2.88140740908899,-2.64674560222806,-2.50536318402967,-2.60884526487828,-1.95739432304414,-2.31226013601126,-2.38903207702833
2017-07-13,-2.89906537455366,-2.67393897485888,-2.52717560953313,-2.63088813396153,-1.95681824957865,-2.33365705440493,-2.42352711352598
2017-07-14,-2.89247925080418,-2.70998073749847,-2.54938990192202,-2.65301780294428,-1.95624066610405,-2.33865126527569,-2.48268045152755
2017-07-17,-2.89338910554547,-2.71621890397978,-2.57188097341276,-2.67363745591591,-1.95566119197801,-2.35880302528159,-2.49773988221806
2017-07-18,-2.9076022176524,-2.71472393716304,-2.59147921769791,-2.69120267514041,-1.9550793506061,-2.38395856009654,-2.49996841324515
2017-07-19,-2.92941305677077,-2.73811206926269,-2.61547813018546,-2.678957183485,-1.95449454525417,-2.40700790288524,-2.50388040492033
2017-07-20,-2.93759461822501,-2.7470069116999,-2.61660423686303,-2.67760285437914,-1.95390602876368,-2.45924460374966,-2.49781621058205
2017-07-21,-2.93542681507203,-2.75411912186916,-2.59440497927551,-2.67462965992412,-1.95331286563272,-2.40565989210402,-2.47377704388985
2017-07-24,-2.93566181438551,-2.76511331644474,-2.58194582240744,-2.63480720831659,-1.95271388453854,-2.40529727159722,-2.54682848343063
2017-07-25,-2.96316636307654,-2.8022074356655,-2.63431898570306,-2.65748194270657,-1.95210761889197,-2.42702732652528,-2.52968697837526
2017-07-26,-2.98305324967215,-2.80142935949104,-2.67447437568684,-2.72158811811072,-1.95149223240677,-2.43014290266037,-2.51972830406954
2017-07-27,-2.99590451033339,-2.8146732568827,-2.7095281963126,-2.73488127182514,-1.95086542590662,-2.4225312253089,-2.50520157523921
2017-07-28,-2.99354067858593,-2.84627884846509,-2.74547197850278,-2.70479307974171,-1.95022432064003,-2.41588422868261,-2.53813094663403
2017-07-31,-2.98499066620653,-2.85156577685861,-2.74858320641184,-2.72420129711505,-1.94956531218127,-2.41471963561623,-2.53808998480093
2017-08-01,-2.90912944539424,-2.85461751847528,-2.73615513420188,-2.70582835882797,-1.94888388750287,-2.43963574808492,-2.52473909111442
2017-08-02,-2.88183599254986,-2.84944097659631,-2.69847632277089,-2.71411562837101,-1.94817439593568,-2.4743557492459,-2.5141145168527
2017-08-03,-2.89196804789345,-2.87654822835908,-2.71283788750192,-2.69976881073126,-1.94742976239277,-2.49596896686098,-2.5234625386218
2017-08-04,-2.90283279105017,-2.89254048182888,-2.71085548185607,-2.70822166823,-1.94664112830295,-2.51195354335452,-2.55455950155194
