"data","TCI","W"
2022-10-24,37.9373911197718,"W = 250"
2022-10-25,37.913992978963,"W = 250"
2022-10-26,39.2974342707578,"W = 250"
2022-10-27,38.6419913308704,"W = 250"
2022-10-28,38.4069566122431,"W = 250"
2022-10-31,39.1905924575233,"W = 250"
2022-11-01,39.7294772434283,"W = 250"
2022-11-03,40.0088988339452,"W = 250"
2022-11-04,39.6606639414983,"W = 250"
2022-11-07,39.6543786717977,"W = 250"
2022-11-08,39.7472282349294,"W = 250"
2022-11-09,40.5550875055237,"W = 250"
2022-11-10,41.3873246131789,"W = 250"
2022-11-11,41.641847483465,"W = 250"
2022-11-14,41.6240791794559,"W = 250"
2022-11-16,41.5546697099709,"W = 250"
2022-11-17,41.8413676912365,"W = 250"
2022-11-18,42.1818088244761,"W = 250"
2022-11-21,42.5363707395058,"W = 250"
2022-11-22,41.5693352665457,"W = 250"
2022-11-23,41.6010694541391,"W = 250"
2022-11-24,41.4082586483544,"W = 250"
2022-11-25,40.8590374121444,"W = 250"
2022-11-28,40.859463941575,"W = 250"
2022-11-29,40.6637826251011,"W = 250"
2022-11-30,40.7434780063643,"W = 250"
2022-12-01,40.7332956372564,"W = 250"
2022-12-02,41.5207345764412,"W = 250"
2022-12-05,41.5186068267379,"W = 250"
2022-12-06,41.3585014129788,"W = 250"
2022-12-07,40.8596179919005,"W = 250"
2022-12-08,40.6794583965012,"W = 250"
2022-12-09,40.970798928447,"W = 250"
2022-12-12,41.6312365731047,"W = 250"
2022-12-13,41.4923341383047,"W = 250"
2022-12-14,41.6771658227432,"W = 250"
2022-12-15,42.2316785311574,"W = 250"
2022-12-16,41.9835454088038,"W = 250"
2022-12-19,42.0487825792687,"W = 250"
2022-12-20,42.7488670516045,"W = 250"
2022-12-21,42.4944932086816,"W = 250"
2022-12-22,42.3862069740431,"W = 250"
2022-12-23,42.5588416710282,"W = 250"
2022-12-26,42.5316489422092,"W = 250"
2022-12-27,42.5936015846984,"W = 250"
2022-12-28,42.4304622079597,"W = 250"
2022-12-29,42.4921109323206,"W = 250"
2023-01-02,42.4858105910703,"W = 250"
2023-01-03,42.3876361438813,"W = 250"
2023-01-04,42.042891319492,"W = 250"
2023-01-05,42.0376708437533,"W = 250"
2023-01-06,42.2226248370108,"W = 250"
2023-01-09,42.2641541434305,"W = 250"
2023-01-10,42.6170195727712,"W = 250"
2023-01-11,42.6194286849229,"W = 250"
2023-01-12,42.8275499361316,"W = 250"
2023-01-13,42.6960132124964,"W = 250"
2023-01-16,42.5134606923502,"W = 250"
2023-01-17,42.3368382007062,"W = 250"
2023-01-18,42.2704015791433,"W = 250"
2023-01-19,42.1421326582391,"W = 250"
2023-01-20,42.0293161531857,"W = 250"
2023-01-23,41.8680002229949,"W = 250"
2023-01-24,41.6335853160461,"W = 250"
2023-01-25,41.786998662949,"W = 250"
2023-01-26,42.111605844533,"W = 250"
2023-01-27,42.1773660977265,"W = 250"
2023-01-30,42.2563227178492,"W = 250"
2023-01-31,41.5804902249041,"W = 250"
2023-02-01,41.7285692217101,"W = 250"
2023-02-02,43.5140615656236,"W = 250"
2023-02-03,43.1549655392197,"W = 250"
2023-02-06,42.9217911297776,"W = 250"
2023-02-07,42.9554796584024,"W = 250"
2023-02-08,43.2636575906521,"W = 250"
2023-02-09,43.9718407887143,"W = 250"
2023-02-10,43.0730435176373,"W = 250"
2023-02-13,42.8521951344994,"W = 250"
2023-02-14,43.067770672061,"W = 250"
2023-02-15,43.0749147533278,"W = 250"
2023-02-16,43.10420096073,"W = 250"
2023-02-17,41.5741125305664,"W = 250"
2023-02-22,41.0330373720395,"W = 250"
2023-02-23,41.068153304382,"W = 250"
2023-02-24,41.1571544951748,"W = 250"
2023-02-27,40.9145172734025,"W = 250"
2023-02-28,40.5716209327012,"W = 250"
2023-03-01,40.9750378389262,"W = 250"
2023-03-02,40.6106310071714,"W = 250"
2023-03-03,40.6834545642696,"W = 250"
2023-03-06,40.5728378639615,"W = 250"
2023-03-07,40.2732411772377,"W = 250"
2023-03-08,40.3568225600667,"W = 250"
2023-03-09,40.2586732084126,"W = 250"
2023-03-10,40.2501685650009,"W = 250"
2023-03-13,40.5585911399337,"W = 250"
2023-03-14,40.6806869588373,"W = 250"
2023-03-15,41.1038928068473,"W = 250"
2023-03-16,40.9718101938982,"W = 250"
2023-03-17,40.9895793629055,"W = 250"
2023-03-20,40.8714692022404,"W = 250"
2023-03-21,40.7619559062185,"W = 250"
2023-03-22,40.6531313864132,"W = 250"
2023-03-23,41.0092792765039,"W = 250"
2023-03-24,40.8761033184707,"W = 250"
2023-03-27,40.80285800845,"W = 250"
2023-03-28,40.8698677291119,"W = 250"
2023-03-29,40.5412056065796,"W = 250"
2023-03-30,40.6962070699492,"W = 250"
2023-03-31,40.7001879063271,"W = 250"
2023-04-03,40.6959543855669,"W = 250"
2023-04-04,40.4947266031365,"W = 250"
2023-04-05,40.4881057605652,"W = 250"
2023-04-06,40.6009775025236,"W = 250"
2023-04-10,40.7902286129204,"W = 250"
2023-04-11,40.1229751421416,"W = 250"
2023-04-12,40.2766270951628,"W = 250"
2023-04-13,39.9004760677049,"W = 250"
2023-04-14,39.7996680509481,"W = 250"
2023-04-17,39.8092573010496,"W = 250"
2023-04-18,39.6398165428781,"W = 250"
2023-04-19,40.0382375649965,"W = 250"
2023-04-20,40.1573403362315,"W = 250"
2023-04-24,40.0966472067096,"W = 250"
2023-04-25,39.9473908368895,"W = 250"
2023-04-26,39.8004838572511,"W = 250"
2023-04-27,40.7240490869823,"W = 250"
2023-04-28,40.45763766632,"W = 250"
2023-05-02,40.2398931653802,"W = 250"
2023-05-03,39.7373553251188,"W = 250"
2023-05-04,39.826821575158,"W = 250"
2023-05-05,39.4271395108468,"W = 250"
2023-05-08,39.3058202092388,"W = 250"
2023-05-09,39.3311769556365,"W = 250"
2023-05-10,39.5602437230423,"W = 250"
2023-05-11,39.568333166407,"W = 250"
2023-05-12,39.3912692623189,"W = 250"
2023-05-15,39.5043482988158,"W = 250"
2023-05-16,40.028368178718,"W = 250"
2023-05-17,40.576317327244,"W = 250"
2023-05-18,41.0865392018501,"W = 250"
2023-05-19,41.0461428881555,"W = 250"
2023-05-22,40.6401063249626,"W = 250"
2023-05-23,40.2031951137516,"W = 250"
2023-05-24,40.5275941182501,"W = 250"
2023-05-25,40.6775400628065,"W = 250"
2023-05-26,40.6344116984905,"W = 250"
2023-05-29,41.3763512555075,"W = 250"
2023-05-30,41.1137554509323,"W = 250"
2023-05-31,41.3058675497209,"W = 250"
2023-06-01,40.8111399148618,"W = 250"
2023-06-02,40.8755373144676,"W = 250"
2023-06-05,40.8022029802974,"W = 250"
2023-06-06,41.0613949745032,"W = 250"
2023-06-07,41.3656634224675,"W = 250"
2023-06-09,41.1660516953201,"W = 250"
2023-06-12,40.9431523102587,"W = 250"
2023-06-13,40.9525259663059,"W = 250"
2023-06-14,41.0556640767394,"W = 250"
2023-06-15,40.8058801206978,"W = 250"
2023-06-16,41.1041626028844,"W = 250"
2023-06-19,41.5887319644921,"W = 250"
2023-06-20,42.0174027572787,"W = 250"
2023-06-21,42.0171399989586,"W = 250"
2023-06-22,41.7332835004745,"W = 250"
2023-06-23,42.1282741018638,"W = 250"
2023-06-26,42.1147187503268,"W = 250"
2023-06-27,42.277033140596,"W = 250"
2023-06-28,42.0368421352129,"W = 250"
2023-06-29,42.2820161722586,"W = 250"
2023-06-30,42.2198637707021,"W = 250"
2023-07-03,42.2431896374059,"W = 250"
2023-07-04,43.1454401219267,"W = 250"
2023-07-05,43.2566757126581,"W = 250"
2023-07-06,43.2386575319762,"W = 250"
2023-07-07,43.1518352007899,"W = 250"
2023-07-10,44.148031744572,"W = 250"
2023-07-11,44.1510977858212,"W = 250"
2023-07-12,44.1400659011319,"W = 250"
2023-07-13,44.2577955767744,"W = 250"
2023-07-14,44.0851700409608,"W = 250"
2023-07-17,44.3621790440033,"W = 250"
2023-07-18,44.6509186691876,"W = 250"
2023-07-19,44.6533642539037,"W = 250"
2023-07-20,44.5846968657573,"W = 250"
2023-07-21,44.3812628982937,"W = 250"
2023-07-24,44.3887683943968,"W = 250"
2023-07-25,44.3654762528713,"W = 250"
2023-07-26,44.4502718217156,"W = 250"
2023-07-27,44.3084831782493,"W = 250"
2023-07-28,44.7038069646803,"W = 250"
2023-07-31,45.1063129397863,"W = 250"
2023-08-01,45.1611854034842,"W = 250"
2023-08-02,45.3807598470583,"W = 250"
2023-08-03,45.4953788746858,"W = 250"
2023-08-04,45.4814999871574,"W = 250"
2023-08-07,45.5888996403541,"W = 250"
2023-08-08,45.7425309635694,"W = 250"
2023-08-09,45.7173473850873,"W = 250"
2023-08-10,45.8078315162671,"W = 250"
2023-08-11,46.1324977999491,"W = 250"
2023-08-14,45.6486776172662,"W = 250"
2023-08-15,45.5293295991252,"W = 250"
2023-08-16,45.4993482087339,"W = 250"
2023-08-17,45.3597753891691,"W = 250"
2023-08-18,45.1045648565172,"W = 250"
2023-08-21,44.8796158971596,"W = 250"
2023-08-22,45.0125167345474,"W = 250"
2023-08-23,45.1625979421823,"W = 250"
2023-08-24,45.3151167301394,"W = 250"
2023-08-25,45.5368204622548,"W = 250"
2023-08-28,45.117970652303,"W = 250"
2023-08-29,45.1222480401937,"W = 250"
2023-08-30,45.1464665124818,"W = 250"
2023-08-31,45.3610366845147,"W = 250"
2023-09-01,45.3568656056365,"W = 250"
2023-09-04,45.2443488524449,"W = 250"
2023-09-05,45.1390274000565,"W = 250"
2023-09-06,45.1024351411321,"W = 250"
2023-09-08,45.2361345877583,"W = 250"
2023-09-11,45.1195526080334,"W = 250"
2023-09-12,45.5035903843367,"W = 250"
2023-09-13,45.4782869427371,"W = 250"
2023-09-14,45.3619460432525,"W = 250"
2023-09-15,45.6354847050646,"W = 250"
2023-09-18,45.3211239332065,"W = 250"
2023-09-19,45.2685309179853,"W = 250"
2023-09-20,45.261390969325,"W = 250"
2023-09-21,45.2282753120656,"W = 250"
2023-09-22,45.1871153437777,"W = 250"
2023-09-25,45.2423990413141,"W = 250"
2023-09-26,45.6017713752466,"W = 250"
2023-09-27,44.7668190781053,"W = 250"
2023-09-28,44.9466674281546,"W = 250"
2023-09-29,44.9446661335759,"W = 250"
2023-10-02,44.7619993129404,"W = 250"
2023-10-03,44.8377833929995,"W = 250"
2023-10-04,44.8290639057237,"W = 250"
2023-10-05,44.8955342897766,"W = 250"
2023-10-06,45.1608546245611,"W = 250"
2023-10-09,45.3522188466305,"W = 250"
2023-10-10,45.3246668300027,"W = 250"
2023-10-11,45.4103221532071,"W = 250"
2023-10-13,45.106162158616,"W = 250"
2023-10-16,45.2164488107433,"W = 250"
2023-10-17,45.1143808484094,"W = 250"
2023-10-18,45.3320724493294,"W = 250"
2023-10-19,45.9748069618279,"W = 250"
2023-10-20,44.6272490753879,"W = 250"
2023-10-23,44.1670663102011,"W = 250"
2023-10-24,44.3744468133192,"W = 250"
2023-10-25,43.0094500534353,"W = 250"
2023-10-26,42.5073184763774,"W = 250"
2023-10-27,42.2467529846627,"W = 250"
2023-10-30,42.38688406997,"W = 250"
2023-10-31,42.7374653922626,"W = 250"
2023-11-01,43.0938893923306,"W = 250"
2023-11-03,42.9382859084811,"W = 250"
2023-11-06,42.179830660201,"W = 250"
2023-11-07,41.7495555543164,"W = 250"
2023-11-08,41.677698644222,"W = 250"
2023-11-09,41.6246158794544,"W = 250"
2023-11-10,40.9365311913704,"W = 250"
2023-11-13,39.9897111227489,"W = 250"
2023-11-14,39.7833786179858,"W = 250"
2023-11-16,39.4708711371273,"W = 250"
2023-11-17,39.7074743970318,"W = 250"
2023-11-20,39.3417407425533,"W = 250"
2023-11-21,39.7001433964655,"W = 250"
2023-11-22,39.6034052138951,"W = 250"
2023-11-23,38.9669171834422,"W = 250"
2023-11-24,39.1101310450836,"W = 250"
2023-11-27,39.2185547024447,"W = 250"
2023-11-28,38.4111949147227,"W = 250"
2023-11-29,38.5028631662164,"W = 250"
2023-11-30,38.6885368141394,"W = 250"
2023-12-01,38.7941178751611,"W = 250"
2023-12-04,38.7140850513,"W = 250"
2023-12-05,38.9818956431256,"W = 250"
2023-12-06,38.1583664505395,"W = 250"
2023-12-07,38.3547223774365,"W = 250"
2023-12-08,37.5310192109064,"W = 250"
2023-12-11,37.0670045521212,"W = 250"
2023-12-12,37.5193146185333,"W = 250"
2023-12-13,37.2111759970476,"W = 250"
2023-12-14,36.2843283486316,"W = 250"
2023-12-15,36.224919114629,"W = 250"
2023-12-18,36.1159543345438,"W = 250"
2023-12-19,35.9620768589975,"W = 250"
2023-12-20,36.5885411182283,"W = 250"
2023-12-21,35.4386672678495,"W = 250"
2023-12-22,34.8470785884312,"W = 250"
2023-12-26,35.4673659354466,"W = 250"
2023-12-27,35.4818367517588,"W = 250"
2023-12-28,36.017324130653,"W = 250"
2024-01-02,35.9469715678111,"W = 250"
2024-01-03,35.809862914192,"W = 250"
2024-01-04,35.9061010874728,"W = 250"
2024-01-05,35.5626054228437,"W = 250"
2024-01-08,35.1438970451045,"W = 250"
2024-01-09,34.8525984023289,"W = 250"
2024-01-10,34.1140189260737,"W = 250"
2024-01-11,34.0247593842965,"W = 250"
2024-01-12,33.8119727864744,"W = 250"
2024-01-15,33.9469933074868,"W = 250"
2024-01-16,33.8237194103358,"W = 250"
2024-01-17,33.9757481378982,"W = 250"
2024-01-18,33.9556801550749,"W = 250"
2024-01-19,33.6977775056022,"W = 250"
2024-01-22,34.1040521854035,"W = 250"
2024-01-23,33.8949244589564,"W = 250"
2024-01-24,34.1547035144254,"W = 250"
2024-01-25,34.5916523830534,"W = 250"
2024-01-26,34.822654253068,"W = 250"
2024-01-29,34.765104197094,"W = 250"
2024-01-30,34.7495307508986,"W = 250"
2024-01-31,32.4719113712667,"W = 250"
2024-02-01,32.4229710129029,"W = 250"
2024-02-02,32.563530306392,"W = 250"
2024-02-05,32.5346797213814,"W = 250"
2024-02-06,31.8465507586327,"W = 250"
2024-02-07,31.3898127036834,"W = 250"
2024-02-08,30.776805932275,"W = 250"
2024-02-09,30.3708136103923,"W = 250"
